project_id,chain,token_address,pair_address,creator_address,creation_timestamp,rugpull_label,rugpull_type,source_dataset,collection_failed
WAX Token (WAX),ETH,,,,2017-12-22 00:00:00.000000000,0,,tm_rugpull,
VERIFY (VRFY),BSC,,,,2017-12-23 00:00:00.000000000,1,,tm_rugpull,
Dai Stablecoin (DAI),ETH,,,,2017-12-27 00:00:00.000000000,0,,tm_rugpull,
Dai Stablecoin (DAI),ETH,,,,2018-01-04 00:00:00.000000000,0,,tm_rugpull,
Zap Finance (ZAP),BSC,,,,2018-01-13 00:00:00.000000000,1,,tm_rugpull,
OneRoot Network (RNT),ETH,,,,2018-01-16 00:00:00.000000000,1,,tm_rugpull,
Theta Token (THETA),ETH,,,,2018-01-22 00:00:00.000000000,0,,tm_rugpull,
Crypto20 (C20),ETH,,,,2018-01-23 00:00:00.000000000,0,,tm_rugpull,
HuobiToken (HT),ETH,,,,2018-02-08 00:00:00.000000000,0,,tm_rugpull,
CargoX (CXO),ETH,,,,2018-02-17 00:00:00.000000000,1,,tm_rugpull,
Republic (REN),ETH,,,,2018-02-22 00:00:00.000000000,0,,tm_rugpull,
Bezop (Bez),ETH,,,,2018-03-01 00:00:00.000000000,1,,tm_rugpull,
TrueUSD (TUSD),ETH,,,,2018-03-06 00:00:00.000000000,0,,tm_rugpull,
Sether (SETH),ETH,,,,2018-03-15 00:00:00.000000000,1,,tm_rugpull,
ShipChain SHIP (SHIP),ETH,,,,2018-03-18 00:00:00.000000000,1,,tm_rugpull,
InsurChain Coin (INSUR),ETH,,,,2018-03-25 00:00:00.000000000,1,,tm_rugpull,
Titanium BAR (TBAR),ETH,,,,2018-03-29 00:00:00.000000000,1,,tm_rugpull,
Binance-Peg Tezos Token (XTZ),BSC,,,,2018-04-07 00:00:00.000000000,0,,tm_rugpull,
Binance-Peg Tezos Token (XTZ),ETH,,,,2018-04-08 00:00:00.000000000,0,,tm_rugpull,
XinFin XDCE (XDCE),ETH,,,,2018-04-09 00:00:00.000000000,0,,tm_rugpull,
B2BCoin (BBC),ETH,,,,2018-05-08 00:00:00.000000000,1,,tm_rugpull,
FuzeX (FXT),ETH,,,,2018-05-16 00:00:00.000000000,1,,tm_rugpull,
BezantToken (BZNT),ETH,,,,2018-05-16 00:00:00.000000000,1,,tm_rugpull,
POPCHAIN CASH TOKEN (PCHT),ETH,,,,2018-05-22 00:00:00.000000000,1,,tm_rugpull,
Dropil (DROP),ETH,,,,2018-05-23 00:00:00.000000000,1,,tm_rugpull,
blocktrade (BTT),ETH,,,,2018-05-26 00:00:00.000000000,1,,tm_rugpull,
Rapture (RT),POLYGON,,,,2018-05-30 00:00:00.000000000,1,,tm_rugpull,
IoTeX Network (IOTX),ETH,,,,2018-06-03 00:00:00.000000000,0,,tm_rugpull,
Celsius (CEL),ETH,,,,2018-06-03 00:00:00.000000000,0,,tm_rugpull,
NKN (NKN),ETH,,,,2018-06-04 00:00:00.000000000,0,,tm_rugpull,
Energi (NRG),ETH,,,,2018-06-04 00:00:00.000000000,0,,tm_rugpull,
Bitcoiin (B2G),ETH,,,,2018-06-07 00:00:00.000000000,1,,tm_rugpull,
Proton Token (PTT),ETH,,,,2018-06-25 00:00:00.000000000,1,,tm_rugpull,
HashCoin (HSC),ETH,,,,2018-07-11 00:00:00.000000000,1,,tm_rugpull,
Everipedia IQ (IQ),ETH,,,,2018-07-14 00:00:00.000000000,0,,tm_rugpull,
BOB Token (BOB),ETH,,,,2018-07-15 00:00:00.000000000,1,,tm_rugpull,
Data Transaction Token (XD),ETH,,,,2018-07-17 00:00:00.000000000,1,,tm_rugpull,
DaTa eXchange Token (DTX),ETH,,,,2018-07-19 00:00:00.000000000,1,,tm_rugpull,
Shivers (SHVR),ETH,,,,2018-07-20 00:00:00.000000000,1,,tm_rugpull,
Scroll Network (Scroll),ETH,,,,2018-07-21 00:00:00.000000000,1,,tm_rugpull,
Mass Vehicle Ledger Token (MVL),ETH,,,,2018-07-27 00:00:00.000000000,0,,tm_rugpull,
STASIS EURS Token (EURS),ETH,,,,2018-07-31 00:00:00.000000000,0,,tm_rugpull,
Quant (QNT),ETH,,,,2018-08-11 00:00:00.000000000,0,,tm_rugpull,
C2C (C2C),ETH,,,,2018-08-11 00:00:00.000000000,1,,tm_rugpull,
Color Coin (CLR),ETH,,,,2018-08-13 00:00:00.000000000,1,,tm_rugpull,
ShowHand (HAND),ETH,,,,2018-08-17 00:00:00.000000000,1,,tm_rugpull,
RealTract (RET),ETH,,,,2018-09-09 00:00:00.000000000,1,,tm_rugpull,
Bunny Token (BUNNY),BSC,,,,2018-09-23 00:00:00.000000000,1,,tm_rugpull,
EcoRealEstate (ECOREAL),ETH,,,,2018-09-26 00:00:00.000000000,1,,tm_rugpull,
Eristica TOKEN (ERT),ETH,,,,2018-09-27 00:00:00.000000000,1,,tm_rugpull,
Robotina token (ROX),ETH,,,,2018-09-29 00:00:00.000000000,1,,tm_rugpull,
Pax Dollar (USDP),ETH,,,,2018-10-02 00:00:00.000000000,0,,tm_rugpull,
Bethereum (BETHER),ETH,,,,2018-10-03 00:00:00.000000000,1,,tm_rugpull,
YGGDRASH (YEED),ETH,,,,2018-10-21 00:00:00.000000000,1,,tm_rugpull,
Pinakion (PNK),ETH,,,,2018-11-02 00:00:00.000000000,1,,tm_rugpull,
Props Token (PROPS),ETH,,,,2018-11-08 00:00:00.000000000,0,,tm_rugpull,
Cronos Coin (CRO),ETH,,,,2018-12-15 00:00:00.000000000,0,,tm_rugpull,
Synthetix Network Token (SNX),ETH,,,,2018-12-16 00:00:00.000000000,0,,tm_rugpull,
FXPay (FXP),ETH,,,,2019-01-03 00:00:00.000000000,1,,tm_rugpull,
MINDOL (MIN),ETH,,,,2019-01-17 00:00:00.000000000,1,,tm_rugpull,
pTokens TLOS (TLOS),ETH,,,,2019-01-25 00:00:00.000000000,0,,tm_rugpull,
OnlyChain(Only),ETH,,,,2019-01-28 00:00:00.000000000,1,,tm_rugpull,
Wrapped BTC (WBTC),ETH,,,,2019-02-01 00:00:00.000000000,0,,tm_rugpull,
HuobiPoolToken (HPT),ETH,,,,2019-02-02 00:00:00.000000000,1,,tm_rugpull,
LTO Network Token (LTO),ETH,,,,2019-02-25 00:00:00.000000000,0,,tm_rugpull,
Insureum Token (ISR),ETH,,,,2019-03-04 00:00:00.000000000,1,,tm_rugpull,
Fetch (FET),ETH,,,,2019-03-11 00:00:00.000000000,0,,tm_rugpull,
Ankr Network (ANKR),ETH,,,,2019-03-13 00:00:00.000000000,0,,tm_rugpull,
CelerToken (CELR),ETH,,,,2019-04-04 00:00:00.000000000,0,,tm_rugpull,
VIDT DAO (VIDT),ETH,,,,2019-04-07 00:00:00.000000000,0,,tm_rugpull,
DigiFund (DFUND),BSC,,,,2019-04-12 00:00:00.000000000,1,,tm_rugpull,
V-ID Token (VIDT),ETH,,,,2019-04-14 00:00:00.000000000,1,,tm_rugpull,
Ocean Ventures,BSC,,,,2019-05-03 00:00:00.000000000,1,,tm_rugpull,
OKB (OKB),ETH,,,,2019-05-07 00:00:00.000000000,0,,tm_rugpull,
BSC-Peg Thunder Token (TT),BSC,,,,2019-05-17 00:00:00.000000000,0,,tm_rugpull,
Locus Chain (LOCUS),ETH,,,,2019-05-21 00:00:00.000000000,0,,tm_rugpull,
Reserve Rights (RSR),ETH,,,,2019-05-31 00:00:00.000000000,0,,tm_rugpull,
Webflix Token (WFX),ETH,,,,2019-06-12 00:00:00.000000000,1,,tm_rugpull,
W12 Token (W12),ETH,,,,2019-06-24 00:00:00.000000000,1,,tm_rugpull,
COS (COS),ETH,,,,2019-06-25 00:00:00.000000000,0,,tm_rugpull,
chiliZ (CHZ),ETH,,,,2019-07-11 00:00:00.000000000,0,,tm_rugpull,
Binance-Peg COTI Token (COTI),BSC,,,,2019-07-13 00:00:00.000000000,0,,tm_rugpull,
Contentos (COS),ETH,,,,2019-07-17 00:00:00.000000000,1,,tm_rugpull,
qiibeeToken (QBX),ETH,,,,2019-07-17 00:00:00.000000000,1,,tm_rugpull,
qiibeeToken (QBX),ETH,,,,2019-07-17 00:00:00.000000000,0,,tm_rugpull,
ARPA Token (ARPA),ETH,,,,2019-07-23 00:00:00.000000000,0,,tm_rugpull,
THORChain ETH.RUNE,ETH,,,,2019-07-24 00:00:00.000000000,0,,tm_rugpull,
LOO,BSC,,,,2019-07-29 00:00:00.000000000,1,,tm_rugpull,
THORChain ETH.RUNE (RUNE),ETH,,,,2019-07-30 00:00:00.000000000,0,,tm_rugpull,
FLEX Coin (FLEX),ETH,,,,2019-07-30 00:00:00.000000000,0,,tm_rugpull,
BOSAGORA (BOA),ETH,,,,2019-08-06 00:00:00.000000000,0,,tm_rugpull,
Xystus (xys),ETH,,,,2019-08-08 00:00:00.000000000,1,,tm_rugpull,
Internet Cashowbiz (ICBB),ETH,,,,2019-08-14 00:00:00.000000000,1,,tm_rugpull,
GateChainToken (GT),ETH,,,,2019-08-27 00:00:00.000000000,0,,tm_rugpull,
USDK (USDK),ETH,,,,2019-08-29 00:00:00.000000000,0,,tm_rugpull,
Swipe (SXP),ETH,,,,2019-09-02 00:00:00.000000000,0,,tm_rugpull,
RAE Token (RAE),ETH,,,,2019-09-02 00:00:00.000000000,0,,tm_rugpull,
BandToken (BAND),ETH,,,,2019-09-19 00:00:00.000000000,0,,tm_rugpull,
Rupiah Token (IDRT),ETH,,,,2019-09-25 00:00:00.000000000,0,,tm_rugpull,
RankingBall Gold (RBG),ETH,,,,2019-09-26 00:00:00.000000000,1,,tm_rugpull,
Binance-Peg PAX Gold (PAXG),BSC,,,,2019-10-02 00:00:00.000000000,0,,tm_rugpull,
Ampleforth (AMPL),ETH,,,,2019-10-14 00:00:00.000000000,0,,tm_rugpull,
pahoo (pahoo),ETH,,,,2019-10-21 00:00:00.000000000,1,,tm_rugpull,
DX_2335.0,ETH,0x59434a7b9aeebe94045d3715aa020f6a1d7875ad,,,2020-01-01 00:00:00.000000000,1,Transaction Limitation,dianxiang_sun,True
Akropolis (AKRO),ETH,,,,2020-01-01 00:00:00.000000000,0,,tm_rugpull,
DX_1162.0,ETH,0xf183bcac25cacccf01f4a8727cf773358c8ecb35,,,2020-01-01 00:00:00.000000000,1,Transaction Limitation,dianxiang_sun,True
Compound Dai (cDAI),ETH,,,,2020-01-01 00:00:00.000000000,0,,tm_rugpull,
Tellor Tributes (TRB),ETH,,,,2020-01-01 00:00:00.000000000,0,,tm_rugpull,
Rocket Pool (RPL),ETH,,,,2020-01-01 00:00:00.000000000,0,,tm_rugpull,
DX_1588.0,ETH,0x0355a2b288ee13f7cf6666cf2b6b690761c5e9fa,,,2020-01-01 10:13:39.614711033,1,Transaction Limitation,dianxiang_sun,True
DX_1.0,ETH,0xc3c51c071e5f1eca09575ac35e90956ae3b27311,,,2020-01-01 20:27:19.229422066,1,Combination,dianxiang_sun,True
DX_1058.0,ETH,0x877664f7df9c9df1a077e4068e4dcae9b33fb2b0,,,2020-01-03 03:08:18.073555166,1,Transaction Limitation,dianxiang_sun,True
DX_1468.0,ETH,0x2cbf9f57e764741e969df8e596fd10d50f5e800d,,,2020-01-03 13:21:57.688266199,1,Transaction Limitation,dianxiang_sun,True
DX_2358.0,BSC,0x7c8ffcfEFFf2e62A77BfA82bDba730cC0e8129CF,,,2020-01-05 16:30:15.761821366,1,Unverified contract,dianxiang_sun,True
Jobchain (JOB),ETH,,,,2020-01-06 00:00:00.000000000,1,,tm_rugpull,
BetProtocolToken (BEPRO),ETH,,,,2020-01-06 00:00:00.000000000,0,,tm_rugpull,
DX_1362.0,ETH,0x04208b787bc734b967aae6e61097a745f2d0c83e,,,2020-01-06 12:57:34.991243432,1,Transaction Limitation,dianxiang_sun,True
DX_786.0,ETH,0x7b508333ac4847e49271edd24ef4516a422a436d,,,2020-01-06 23:11:14.605954465,1,Transaction Limitation,dianxiang_sun,True
DX_1576.0,ETH,0xaed6dcac4d6630393c5a85f3fe180dc5743d79d1,,,2020-01-07 19:38:33.835376532,1,Transaction Limitation,dianxiang_sun,True
DX_160.0,ETH,0xe5824f424ecccf6b2238ebbf92c7cd0b2de2c73f,,,2020-01-07 19:38:33.835376532,1,Fee,dianxiang_sun,True
DX_1869.0,ETH,0x4fb40b89285177c593397549fc57c52fe3ed01e1,,,2020-01-08 16:05:53.064798598,1,Transaction Limitation,dianxiang_sun,True
DX_1199.0,ETH,0x997142cff147bab2f00e8a0b0feb275ddbd338ee,,,2020-01-08 16:05:53.064798598,1,Transaction Limitation,dianxiang_sun,True
DX_1248.0,ETH,0x9fe3dbd3521b0c051b18cb0cca15490da8bc5118,,,2020-01-08 16:05:53.064798598,1,Transaction Limitation,dianxiang_sun,True
DX_2328.0,ETH,0x448fcea60482c0ea5d02fa44648c3749c46c4a29,,,2020-01-09 12:33:12.294220665,1,Transaction Limitation,dianxiang_sun,True
DX_1218.0,ETH,0x86f2b0105ea819e11546713207405473c186cb91,,,2020-01-10 09:00:31.523642732,1,Transaction Limitation,dianxiang_sun,True
DX_1554.0,ETH,0x766a51ef6afd317af3f122c186c3901a498a2281,,,2020-01-10 09:00:31.523642732,1,Transaction Limitation,dianxiang_sun,True
DX_2007.0,ETH,0xad0fc52c7a96dc0679c311d95a36967d50be569b,,,2020-01-11 05:27:50.753064798,1,Transaction Limitation,dianxiang_sun,True
DX_2091.0,ETH,0x650734bfd0465b7c6cd2932ea555e721308fd0b3,,,2020-01-11 05:27:50.753064798,1,Transaction Limitation,dianxiang_sun,True
DX_490.0,ETH,0x4a6f27f92f2fa8c89c0c5ded2f99c3726a313af3,,,2020-01-12 12:08:49.597197898,1,Transaction Limitation,dianxiang_sun,True
DX_1704.0,ETH,0x0868055f30dc47a873176dea746b9d27a71e4ec1,,,2020-01-12 22:22:29.211908931,1,Transaction Limitation,dianxiang_sun,True
DX_1594.0,ETH,0xf5f179c894736a682c022562a474ffa80cf9603c,,,2020-01-12 22:22:29.211908931,1,Transaction Limitation,dianxiang_sun,True
DX_1142.0,ETH,0x9239411c92851ea2a4ed91a7e61acb68411f0728,,,2020-01-13 18:49:48.441330998,1,Transaction Limitation,dianxiang_sun,True
DX_2213.0,ETH,0xa630823bd70ab8e8e2d6e62089d3837db1887bf6,,,2020-01-13 18:49:48.441330998,1,Transaction Limitation,dianxiang_sun,True
DX_2341.0,ETH,0x1ebf20031b03b80e5f6fdbeb9f86d44145224006,,,2020-01-13 18:49:48.441330998,1,Transaction Limitation,dianxiang_sun,True
DX_2344.0,ETH,0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859,,,2020-01-13 18:49:48.441330998,1,Transaction Limitation,dianxiang_sun,True
Fuse Token (FUSE),ETH,,,,2020-01-14 00:00:00.000000000,0,,tm_rugpull,
RIFT Token (RIFT),ETH,,,,2020-01-15 00:00:00.000000000,1,,tm_rugpull,
DX_1871.0,ETH,0x2cfc5bb059a08e7746f20cf44ad1875055769020,,,2020-01-15 01:30:47.285464098,1,Transaction Limitation,dianxiang_sun,True
DX_239.0,BSC,0x992da3dcbe17bf3c4a2745b4ce7f6e94f5dae591,,,2020-01-15 01:30:47.285464098,1,Token Generation,dianxiang_sun,True
DX_269.0,ETH,0x386cabc0b14a507a4e024dea15554342865b20de,,,2020-01-15 11:44:26.900175131,1,Token Generation,dianxiang_sun,True
DX_1794.0,ETH,0x3a862ba102c7a1e65548e8084b45ad589dca299d,,,2020-01-15 21:58:06.514886164,1,Transaction Limitation,dianxiang_sun,True
DX_867.0,ETH,0x0cd44a504562100e7a9bf84fccb25db3f0b204a9,,,2020-01-15 21:58:06.514886164,1,Transaction Limitation,dianxiang_sun,True
DX_1951.0,ETH,0x3db16d6f74242b57f860f2d038c9c701b9e0e5eb,,,2020-01-17 04:39:05.359019264,1,Transaction Limitation,dianxiang_sun,True
DX_1729.0,ETH,0x9be441f53e7fc1a92ef21a1905e7e7974b00d303,,,2020-01-17 04:39:05.359019264,1,Transaction Limitation,dianxiang_sun,True
DX_2067.0,ETH,0x4c3d09e964de6232d978be506f4becc4f0c2b309,,,2020-01-17 04:39:05.359019264,1,Transaction Limitation,dianxiang_sun,True
DX_1533.0,ETH,0xe7650a78f6f306072badcec2eb987c27a1b65a0d,,,2020-01-18 01:06:24.588441331,1,Transaction Limitation,dianxiang_sun,True
DX_379.0,ETH,0x9671065b4fad632222de0f4e0d873fe26d908e3d,,,2020-01-20 14:28:22.276707530,1,Transaction Limitation,dianxiang_sun,True
DX_1930.0,ETH,0xf836e7a376b73e96181e56e508b1435abefe94ed,,,2020-01-21 10:55:41.506129597,1,Transaction Limitation,dianxiang_sun,True
DX_512.0,ETH,0xa3a00c2dbc91d3c2881ccf59ed459aa2bdfeb5ed,,,2020-01-21 10:55:41.506129597,1,Transaction Limitation,dianxiang_sun,True
DX_224.0,BSC,0x208cfEc94d2BA8B8537da7A9BB361c6baAD77272,,,2020-01-22 07:23:00.735551663,1,Token Distribution,dianxiang_sun,True
DX_1661.0,ETH,0xaeded88b4faabc32cfdc9bf13566d52fc38b57a4,,,2020-01-22 17:36:40.350262697,1,Transaction Limitation,dianxiang_sun,True
DX_670.0,ETH,0xe216bf84afff4b29d8f4aeff301fc7473e3d368c,,,2020-01-22 17:36:40.350262697,1,Transaction Limitation,dianxiang_sun,True
DX_2137.0,ETH,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,,,2020-01-23 03:50:19.964973730,1,Transaction Limitation,dianxiang_sun,True
DX_548.0,ETH,0x5b34d10411cc88ce840feb96db4da6a8a850c831,,,2020-01-23 14:03:59.579684763,1,Transaction Limitation,dianxiang_sun,True
DX_949.0,ETH,0xc22b5d5be25f73345d97f3598506f4f12561cd26,,,2020-01-24 10:31:18.809106830,1,Transaction Limitation,dianxiang_sun,True
DX_764.0,ETH,0x7572bbf1df240d20c49f5e5e7fa3f426c5d40755,,,2020-01-24 20:44:58.423817863,1,Transaction Limitation,dianxiang_sun,True
DX_28.0,ETH,0x1829aa045e21e0d59580024a951db48096e01782,,,2020-01-25 06:58:38.038528896,1,Destroy Token,dianxiang_sun,True
DX_2254.0,ETH,0xacfc9577583ded00ae53ae79a0346cca4655c0bb,,,2020-01-25 06:58:38.038528896,1,Transaction Limitation,dianxiang_sun,True
DX_732.0,ETH,0x4938469b824b9a442a4e75ffe39e327529d13664,,,2020-01-26 13:39:36.882661996,1,Transaction Limitation,dianxiang_sun,True
DX_766.0,ETH,0xedca2aa1d529fa146ea18fc23ac8a06520c4394f,,,2020-01-27 10:06:56.112084063,1,Transaction Limitation,dianxiang_sun,True
Rai.Finance (SOFI),ETH,,,,2020-01-29 00:00:00.000000000,0,,tm_rugpull,
DX_176.0,ETH,0x9b7b60451da2f3fcb5274a4d64e27bafd6d22342,,,2020-01-29 03:01:34.570928196,1,Fee,dianxiang_sun,True
DX_15.0,BSC,0xCDD6494aEB193C8d5541b5B9c5e72a3809A98fdc,,,2020-01-29 03:01:34.570928196,1,Combination,dianxiang_sun,True
DX_231.0,BSC,0x19a00e359990Ec7dAf6e9dD9A2Fb7664014bB5f7,,,2020-01-30 09:42:33.415061296,1,Token Distribution,dianxiang_sun,True
CRP_51,Ethereum,0xa942890d7FC60F0D4a516f63dd273DcDE72aE6c9,,,2020-01-31 16:23:32.259194395,1,,crpwarner,True
DX_551.0,ETH,0x8659f45232f23b57e694804dc51d7064c326b535,,,2020-02-01 12:50:51.488616462,1,Transaction Limitation,dianxiang_sun,True
DX_1545.0,ETH,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,,,2020-02-01 23:04:31.103327495,1,Transaction Limitation,dianxiang_sun,True
DX_1217.0,ETH,0xa42d2cf57b21328e7494b8ba33cc2eb0ffa395eb,,,2020-02-02 09:18:10.718038529,1,Transaction Limitation,dianxiang_sun,True
DX_1331.0,ETH,0xfeaf96cf4a0da1e4edb8e0a959cb1fcff35e5ccc,,,2020-02-02 19:31:50.332749562,1,Transaction Limitation,dianxiang_sun,True
DX_1680.0,ETH,0xa8007b46aab6695346c89be8b377276662cbd6c3,,,2020-02-04 02:12:49.176882662,1,Transaction Limitation,dianxiang_sun,True
CRP_7,Ethereum,0x292E89d5D5BDab3aF2f5838C194c1983f0140b43,,,2020-02-05 08:53:48.021015761,1,,crpwarner,True
DX_1977.0,ETH,0xa792cba3dd118fa25ad418605a285e6cb1d25a82,,,2020-02-05 08:53:48.021015761,1,Transaction Limitation,dianxiang_sun,True
DX_1677.0,ETH,0x06684e3d5ce17681b49737502a558c8cc73d7a13,,,2020-02-05 08:53:48.021015761,1,Transaction Limitation,dianxiang_sun,True
DX_2054.0,ETH,0xf4cfdb2807afbeb738a77a4fd045efdc0c798b93,,,2020-02-06 15:34:46.865148861,1,Transaction Limitation,dianxiang_sun,True
DX_1998.0,ETH,0xe781f9014661e6c2e6ff45e08a3a7fbf4d14787d,,,2020-02-07 01:48:26.479859895,1,Transaction Limitation,dianxiang_sun,True
DX_540.0,ETH,0xa1b788d1a06071c13eb4e387113c210ac0fa3876,,,2020-02-09 04:56:44.553415061,1,Transaction Limitation,dianxiang_sun,True
DX_183.0,ETH,0x7e91ae4ff590038bfdace5b7c656bb9667986b4c,,,2020-02-10 11:37:43.397548161,1,Fee,dianxiang_sun,True
DX_742.0,ETH,0x543ed43d2b68d13a4ac873d0298f60ee1aa17ad3,,,2020-02-11 08:05:02.626970227,1,Transaction Limitation,dianxiang_sun,True
DX_1240.0,ETH,0x661bb561e7fc5a2b2b5fd883ee35c395c4ae9985,,,2020-02-12 04:32:21.856392294,1,Transaction Limitation,dianxiang_sun,True
DX_1475.0,ETH,0x31d6405e73bff7fb3307f572e48f22959f2b829d,,,2020-02-13 00:59:41.085814360,1,Transaction Limitation,dianxiang_sun,True
DX_1048.0,ETH,0xbd8998fd4160c50e6f5a99837ee4b702592ad6d6,,,2020-02-13 11:13:20.700525394,1,Transaction Limitation,dianxiang_sun,True
DX_517.0,ETH,0xe859e007eac36ba95146648d0646a8651e30237e,,,2020-02-13 11:13:20.700525394,1,Transaction Limitation,dianxiang_sun,True
DX_331.0,ETH,0xcb33ba014340aac7644184772c4c5f431b3e1ad9,,,2020-02-13 11:13:20.700525394,1,Transaction Limitation,dianxiang_sun,True
SatoshiSwap (SWAP),BSC,,,,2020-02-14 00:00:00.000000000,1,,tm_rugpull,
DX_1167.0,ETH,0xe26a6f4d7a0768fcc5529dd24dee6caca7ac0d3a,,,2020-02-14 17:54:19.544658493,1,Transaction Limitation,dianxiang_sun,True
DX_1222.0,ETH,0x0ad0ad3db75ee726a284cfafa118b091493938ef,,,2020-02-16 00:35:18.388791593,1,Transaction Limitation,dianxiang_sun,True
DX_272.0,ETH,0xa821f14fb6394e82839f5161f214cacc90372453,,,2020-02-16 10:48:58.003502627,1,Token Generation,dianxiang_sun,True
DX_1946.0,ETH,0x54f7a6181fb009314fcce2c8f9cdfc25ad3652c4,,,2020-02-18 03:43:36.462346760,1,Transaction Limitation,dianxiang_sun,True
DX_2327.0,ETH,0x0e8f2803fa16492b948bc470c69e99460942db2b,,,2020-02-18 03:43:36.462346760,1,Transaction Limitation,dianxiang_sun,True
